file,chi2,convergence,niter,neval,regPen,prior,regul,mu,gamma,tau,wavemin,wavemax,spectral_feature
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-hyperbolic_mu-0.0_tau-1.0_fov-44_pixSc-0.7.fits,8.103444105317,True,4612,4995,0.0,Dirac,hyperbolic,0.0,,1.0,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-hyperbolic_mu-1.0_tau-1e-06_fov-44_pixSc-0.7.fits,8.103444107646,True,3597,3897,2.860602078866,Dirac,hyperbolic,1.0,,1e-06,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-hyperbolic_mu-1.0_tau-0.0001_fov-44_pixSc-0.7.fits,8.103444106852,True,4369,4725,2.846033537292,Dirac,hyperbolic,1.0,,0.0001,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-hyperbolic_mu-1.0_tau-0.01_fov-44_pixSc-0.7.fits,8.103444107522,True,2780,3063,2.490826969126,Dirac,hyperbolic,1.0,,0.01,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-hyperbolic_mu-1.0_tau-1.0_fov-44_pixSc-0.7.fits,8.103444104635,True,2707,2953,0.1842343160934,Dirac,hyperbolic,1.0,,1.0,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-hyperbolic_mu-316.22776601683796_tau-1e-06_fov-44_pixSc-0.7.fits,8.103667453893,True,4592,4965,2.763049262549,Dirac,hyperbolic,316.22776601683796,,1e-06,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-hyperbolic_mu-316.22776601683796_tau-0.0001_fov-44_pixSc-0.7.fits,8.103665791998,True,3995,4366,2.748736396176,Dirac,hyperbolic,316.22776601683796,,0.0001,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-hyperbolic_mu-316.22776601683796_tau-0.01_fov-44_pixSc-0.7.fits,8.103664497878,False,4599,5000,2.394676920781,Dirac,hyperbolic,316.22776601683796,,0.01,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-hyperbolic_mu-316.22776601683796_tau-1.0_fov-44_pixSc-0.7.fits,8.103447550909,True,2568,2804,0.1827153835828,Dirac,hyperbolic,316.22776601683796,,1.0,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-hyperbolic_mu-100000.0_tau-1e-06_fov-44_pixSc-0.7.fits,8.592092882785,True,971,1013,1.015683145291,Dirac,hyperbolic,100000.0,,1e-06,2.1,2.29,continuum
