wvl_list,ellipse_redchi2,a_mean,a_median,a_err_16,a_err_84,phi_mean,phi_median,phi_err_16,phi_err_84,theta_mean,theta_median,theta_err_16,theta_err_84
2.3928641894599423e-06,60.34382850409892,1.022479941605706,1.0224532416506635,0.0011741982065738288,0.0012459184491044883,2.042397283906861,2.0431496658901627,0.026839368943286868,0.02502771574492879,1.8401696666821616e-08,1.8401579811272682e-08,1.5146298497336207e-11,1.55987813335241e-11
3.891015239787521e-06,1.1656850170322208,1.0232909852545287,1.0223503405660068,0.01350622182564254,0.014870068635940425,1.9379333629675417,1.991046556830896,0.4337338391623271,0.3425018352055953,1.7032919401488934e-08,1.703264925289378e-08,1.790138624279484e-10,1.7865723025083316e-10
3.778488917305367e-06,1.2151832814259078,1.0189892793895672,1.0174640916132032,0.011384867834381529,0.01402004191069861,1.9574251493096033,2.044244527199342,0.5568970974225513,0.3768418007020977,1.710901573106324e-08,1.7108654094655006e-08,1.7283205713912573e-10,1.719869703261022e-10
3.662449898911291e-06,1.2896964937342,1.0195562702159775,1.018572746953915,0.011932246500768962,0.013234097392317068,1.9520781593115264,2.0200496638065584,0.48296507375354136,0.3581695898034476,1.732300109867654e-08,1.7320672191972306e-08,1.6517838036905766e-10,1.7145333761859525e-10
3.5441660202195635e-06,1.411395343668918,1.0212283676967608,1.0204599961866616,0.012218949122222877,0.013024807143199535,2.003920458817608,2.0735948565560784,0.41757036920970525,0.2868340236557816,1.76477573021976e-08,1.7647281424841504e-08,1.6169794415357732e-10,1.6104895577065892e-10
3.4252404930157354e-06,1.5122515346359244,1.0246526720126843,1.024366714964927,0.012640540698633851,0.012784513921457519,2.094484396081347,2.1465459221952807,0.2999742406657737,0.22827927928288494,1.805147460521642e-08,1.8049649962291007e-08,1.5706854320290192e-10,1.6143889323885715e-10
3.30761167788296e-06,1.6364912690805844,1.029337495296885,1.0291979185637454,0.011563832278032926,0.011794368020724866,2.1894265137451168,2.215625857625547,0.21030636594372654,0.1704728762177563,1.8573020102763265e-08,1.8571529587287734e-08,1.4720026612182598e-10,1.5316683576942217e-10
4.983718099538237e-06,2.050765493398421,1.0393757355038962,1.0500609890485115,0.04325652229980448,0.014934505223068495,1.5999940756237148,2.5206821472015086,2.4804611390111857,0.09769049805099028,2.4573962948306394e-08,2.4586040273846492e-08,2.4160121206277657e-10,2.0759561852320872e-10
4.888258899882203e-06,2.2130183891927167,1.0490638269989965,1.049155460599342,0.009454297410601109,0.009090845170433015,2.5917418951277127,2.592969655216626,0.07206193130978589,0.0689333688880347,2.435401604158916e-08,2.4352554375923297e-08,1.3423862479489076e-10,1.399324889529135e-10
4.800834631168982e-06,2.4633761736924695,1.056840468128329,1.0612483882592993,0.013206655933741818,0.010067554107750842,2.3226467631712606,2.5590381563689357,0.08167820714725371,0.06151856776574238,2.4627520738815535e-08,2.4646434393716796e-08,1.840007787738875e-10,1.509160664969325e-10
4.7186194933601655e-06,2.502344260446081,1.036935015485814,1.0463364153703472,0.041602110188164065,0.012563020445028439,1.755264163348109,2.497661889996283,2.4094335997442196,0.08814096940766403,2.4350105292427157e-08,2.4365734042655017e-08,2.1716638790043345e-10,1.7477744171860448e-10
4.639124199457001e-06,2.38176760369757,1.0585998524452145,1.0586626323435353,0.008679766379833476,0.008606617389576021,2.5562806273238365,2.5568695676849993,0.06003445626531523,0.058529577096253504,2.4411877518792765e-08,2.4412253801497275e-08,1.2593138043768333e-10,1.2668213051147803e-10
4.560194156510988e-06,2.2165084816449796,1.0418604911740612,1.0503177321892778,0.04555591023421868,0.011999194125450918,1.9210364988443216,2.470814668934759,2.2793366928687804,0.08788955302149404,2.3796052640092905e-08,2.3809476992457362e-08,1.998636383722085e-10,1.652578009684908e-10
8.011954378162045e-06,2.3411570386193916,1.1679813302367898,1.1652944485638193,0.06024824419171515,0.06672027369844313,0.33445943515055326,0.32298948620312073,0.17459321098512684,0.18593077593356389,4.1968361959521624e-08,4.19854196307747e-08,1.7216632660902278e-09,1.6572494059516535e-09
8.285151125164703e-06,7.352959481771093,1.0822800416694243,1.080888128769572,0.037345618873292574,0.0397299121526995,0.7046243628023403,0.6989886826992571,0.17975695418513837,0.17069194055722015,4.3560203102358965e-08,4.3580352523935416e-08,1.0797336478808219e-09,1.0473195368816446e-09
8.552988219889812e-06,14.765783218042131,1.0501780375846634,1.050185255820626,0.022524737245312565,0.02131123929735268,1.6299021736772012,1.634675221675474,0.2940275570222233,0.2849023745715682,4.9768417875922306e-08,4.977490840578035e-08,8.72765354584375e-10,8.723182005112323e-10
8.815465662337374e-06,36.56034383382718,1.0604539672718054,1.0604563859860234,0.0179908718539481,0.017488342267306223,1.8445865698849877,1.8538334890306323,0.1564452839880759,0.13726572080518618,6.087719679320114e-08,6.087954497234275e-08,7.312792336256774e-10,7.109606495747965e-10
9.072582543012686e-06,62.051452734768134,1.275126037768291,1.2747165553523498,0.02124117196237374,0.021592124528878376,1.6157206398219646,1.6156842807867537,0.0475346122980973,0.04843197941357258,2.2222377189407484e-07,2.2221446453041216e-07,2.7067329928957857e-09,2.746109787281379e-09
9.32433977141045e-06,29.09633074425417,1.1651568092603355,1.167567684753034,0.03261526839792395,0.03152160578314356,1.6404407860901637,1.6740647856534787,0.062479249683929705,0.05414878594748207,2.732865648581502e-07,2.7332924679158574e-07,4.029195690042599e-09,3.791859755496985e-09
9.570737347530667e-06,4.214103812197634,1.0893605627068226,1.0880162047743482,0.05048379415083404,0.050129936675226805,0.7322019288728802,0.571769997042015,0.33106424208920343,0.5197850854941507,4.0952128858952936e-07,4.09721503050822e-07,9.309866348596528e-09,8.990202242945693e-09
9.811775271373335e-06,7.340835783714337,1.1733191603101663,1.174190144524092,0.03154539664358702,0.031043724888406565,1.4481250808861468,1.4228220981470199,0.10743143614481565,0.1272468400708655,3.8399917381839737e-07,3.8414860457540385e-07,7.527654648757968e-09,7.1911554197009685e-09
1.0047452633443754e-05,24.054869024436407,1.2525131355474826,1.2524763769202816,0.015057396746736895,0.015252696718670133,1.9652189149639072,1.9658545236417093,0.03182442807880337,0.029888601885736055,3.4713632094616456e-07,3.471556381498237e-07,3.0569965086983793e-09,3.006478692140963e-09
