wvl_list,LD_redchi2,alpha_mean,alpha_median,alpha_err_16,alpha_err_84,theta_mean,theta_median,theta_err_16,theta_err_84
2.1021451175329275e-06,66.833579460819,99.85830033371678,1.2304361909741606,0.021041942369004252,2.8917307571361994,1.9530657868139375e-08,2.0581308679849697e-08,3.596870275419705e-09,1.1224253718601113e-10
2.1153596208023373e-06,32.64670708446146,17.403591368274597,0.9213114329043739,0.05563993971498937,0.32428452084970116,1.856806958392693e-08,1.8861628970924477e-08,2.2731853179953914e-10,2.371107441625654e-10
2.128574124071747e-06,63.47248080337308,1.2055657295415763,1.225553021097227,0.020745291505954278,0.017397964522127163,2.008887534026563e-08,2.0348092982040103e-08,1.130946656546548e-10,9.435658080978556e-11
2.141788627341157e-06,35.238989594786005,10.472025394207321,1.2247327854752876,0.033304801339805845,0.03397604366890827,1.963032250120827e-08,2.0145179770107334e-08,2.2147734218138786e-10,1.6306978258029292e-10
2.1550031306105666e-06,40.66892735604353,1.2400426624815626,1.2229349681791786,0.028127229719285385,0.02557188710492686,1.9850705148061285e-08,2.0111024142783968e-08,1.5601287334426095e-10,1.3450956784851867e-10
2.1682176338799763e-06,34.587338124106495,80.3365940780421,1.2288161435451177,0.058826154488970994,11.80407543901232,1.8747465721935325e-08,1.9860237081243284e-08,6.037204573484185e-09,2.7893260895791314e-10
2.181432137149386e-06,41.676628028060904,0.8433828112038498,1.213067000447026,0.09323533077423085,0.03268545594706462,1.964538988895776e-08,1.9975063823363884e-08,3.324268213444689e-10,1.73700613909842e-10
2.194646640418796e-06,36.24569351548457,18.47366268825996,0.48611516974891555,0.08803632631287556,0.8137202114109815,1.713229220419421e-08,1.7309782641824483e-08,2.1938208159222495e-10,2.0363688865406127e-10
2.2078611436882056e-06,21.548167445043905,2.76288979801463,1.2231919232501403,0.05912919068950506,0.06016476540257498,1.9327278073693733e-08,1.9934845320023847e-08,4.0046983718592543e-10,2.7314961652347527e-10
2.2210756469576154e-06,28.241181756534353,79.87240927690209,1.2092054305151558,0.10516243208154119,1.4191371298168267,1.8774270046854405e-08,1.9689807424050913e-08,3.2224882441078353e-09,4.6164116284840954e-10
2.234290150227025e-06,25.261996835497897,39.36836882848735,1.2238425109133066,0.08276226039463208,6.590949358844985,1.84832697610994e-08,1.963387472612211e-08,5.851009457147894e-09,3.6350562284818804e-10
2.247504653496435e-06,27.908952346755,1.0612050510964974,1.0071383848429556,0.1270568892682501,0.16185141793175384,1.8716084468812057e-08,1.883151978104375e-08,4.4374219081987453e-10,6.361212336298736e-10
2.2607191567658447e-06,31.342472849124228,1.0997921873823029,0.9504366725876787,0.12483229004051322,0.17562308747019584,1.8450248700655562e-08,1.8511366523929533e-08,4.0998773601887444e-10,5.971808893758561e-10
2.2739336600352544e-06,39.014132692580624,3.8014658562647194,0.41792243457344347,0.11008951027870356,1.0912703944373203,1.682614361181566e-08,1.7127088985341126e-08,2.823802990453071e-10,2.3096611004482938e-10
2.287148163304664e-06,69.7700241317908,16.359937716973892,0.04421801924943079,0.03305953945179442,0.6384851093422735,1.6307290528550562e-08,1.656544577846713e-08,3.658993213393084e-11,8.173699063310853e-11
2.300362666574074e-06,65.46730760334901,0.14357279902386633,0.31107740179158583,0.18683351671303589,0.13394273478508273,1.7345952416264085e-08,1.7421978350404764e-08,2.746432842298823e-10,2.4973099084785784e-10
2.3135771698434837e-06,35.792389053580884,0.8592875913518024,1.2094242926040357,0.12928984105401264,0.048738748579147506,1.9803790997555935e-08,2.0127599174759614e-08,4.68373731894079e-10,2.640214015975324e-10
2.3267916731128935e-06,38.511342692196195,0.18252079101134464,0.15659012629230978,0.11142249097581813,0.15072223827076936,1.8025362342718465e-08,1.7950877591764435e-08,1.5945698676152857e-10,2.418169116942983e-10
2.3400061763823032e-06,48.178085667906615,5.1440283405387515,1.2252251709512805,0.062149363967998195,0.07713152970048354,1.9562708230205034e-08,2.0271922809637878e-08,5.111982349443747e-10,3.029610066888805e-10
2.353220679651713e-06,39.11952121494946,0.7897539855041275,0.8536792090352605,0.11097242130238227,0.13734254087074105,2.16354543324184e-08,2.1545410162953033e-08,3.792134350040086e-10,5.34665026628175e-10
2.3664351829211228e-06,64.8054978683481,0.9743298640115381,1.1174662204509698,0.186295495892703,0.15141656610270982,2.0176922939732896e-08,2.0343081580970712e-08,7.627664116274859e-10,7.906044389967582e-10
2.3796496861905325e-06,38.534079037408226,0.9698370741779022,0.8228655125143083,0.14007270201371047,0.1983385685712189,2.009403859388703e-08,1.9961008452472935e-08,4.198928027868827e-10,6.542047317431895e-10
2.3928641894599423e-06,67.11051789446701,9.227143442692071,0.8635319443801199,0.14597398340492385,0.28003682777971783,1.9794021428061254e-08,2.0233512805272983e-08,5.687780530045545e-10,6.060900769863989e-10
3.891015239787521e-06,1.1874537899020323,0.8239706931716075,0.9494862263690953,0.7124821865167623,0.5832487001363849,1.960927781344757e-08,1.8929437966554412e-08,1.5886116418462967e-09,3.3719120321533843e-09
3.778488917305367e-06,1.2259949847274207,0.7093890481883447,0.8220858788427425,0.6165532985522346,0.598786438373297,1.9257488415781668e-08,1.8591860567538307e-08,1.2179921241192405e-09,2.818394579347996e-09
3.662449898911291e-06,1.3059495072841503,0.6304039700592976,0.822265389759314,0.6910527829461985,0.5764996680141579,1.9409364858523133e-08,1.8872025398781077e-08,1.3000242031518124e-09,2.6432576296001175e-09
3.5441660202195635e-06,1.7768168410336285,45.450404752393695,1.0584938262597254,0.7044867844048563,0.6657155665052357,1.925339162870705e-08,1.9052462208440745e-08,1.4684204330588112e-09,2.9698581275072714e-09
3.4252404930157354e-06,1.8610682957378515,35.542825810532925,1.0428888929508346,0.6556835049678482,0.6182434567417716,1.9661842780997058e-08,1.9513542640498328e-08,1.4946041233498287e-09,2.746785348109712e-09
3.30761167788296e-06,1.9010531230399237,8.727548880078626,1.0001935485546243,0.6466346901421344,0.5646556637754918,2.026931547607693e-08,2.0111193085415847e-08,1.4903434846246752e-09,2.7451036461689824e-09
4.983718099538237e-06,2.430283577582,2.1050170710412095,1.1611507343192957,0.33715640865617236,0.24074254875233603,2.7393926602543637e-08,2.7942538215594448e-08,2.1034672035429162e-09,1.7668777940428265e-09
